"","manufacturer","model","year","average_price"
"223","audi","al",2015,23942.9285714286
"224","audi","al",2016,22689
"225","audi","al",2017,34392.6
"226","audi","al",2018,33367
"227","audi","ar",2006,5450
"228","audi","av",2003,6995
"229","audi","av",2006,7800
"230","audi","q3",2015,18568.1818181818
"231","audi","q3",2016,21312.5357142857
"232","audi","q3",2017,19303.425
"233","audi","q3",2018,27600.1066666667
"234","audi","q3",2019,33273.2
"235","audi","q3",2020,36758
"236","audi","q5",2009,8658.66666666667
"237","audi","q5",2010,10137.5576923077
"238","audi","q5",2011,13529.8607594937
"239","audi","q5",2012,14513.1944444444
"240","audi","q5",2013,15060.0384615385
"241","audi","q5",2014,18173.0365853659
"242","audi","q5",2015,22744
"243","audi","q5",2016,21946.4523809524
"244","audi","q5",2017,29509.2395833333
"245","audi","q5",2018,31094.1292517007
"246","audi","q5",2019,34933.9333333333
"247","audi","q5",2020,39604.4225352113
"248","audi","q7",2005,13997
"249","audi","q7",2007,8489.375
"250","audi","q7",2008,8466.85714285714
"251","audi","q7",2009,11254.0909090909
"252","audi","q7",2010,13729.1111111111
"253","audi","q7",2011,16816.7142857143
"254","audi","q7",2012,17772.6470588235
"255","audi","q7",2013,18238.2413793103
"256","audi","q7",2014,23416.752688172
"257","audi","q7",2015,23709.28125
"258","audi","q7",2017,35663.8936170213
"259","audi","q7",2018,39440.1616161616
"260","audi","q7",2019,48869.35
"261","audi","q7",2020,54328.6666666667
"262","audi","q8",2019,56500
"263","audi","qu",2001,5500
"264","audi","rs",2003,21625
"265","audi","rs",2007,34997.5
"266","audi","rs",2008,27699
"267","audi","rs",2013,36328.5714285714
"268","audi","rs",2014,44016.7
"269","audi","rs",2015,45633
"270","audi","rs",2019,54499
"271","audi","s3",2015,19220.6666666667
"272","audi","s3",2016,27397.6
"273","audi","s3",2017,30996.3333333333
"274","audi","s3",2018,37350.6
"275","audi","s3",2019,38967
"276","audi","s3",2020,43590
"277","audi","s4",2000,4550
"278","audi","s4",2001,6800
"279","audi","s4",2002,8750
"280","audi","s4",2004,9634.9
"281","audi","s4",2005,6599.16666666667
"282","audi","s4",2006,10988.0769230769
"283","audi","s4",2007,12641.1428571429
"284","audi","s4",2008,13231.3333333333
"285","audi","s4",2010,16830
"286","audi","s4",2011,14497.2
"287","audi","s4",2012,16880
"288","audi","s4",2013,20839.84
"289","audi","s4",2014,22629.2222222222
"290","audi","s4",2015,26795
"291","audi","s4",2018,39266.4788732394
"292","audi","s4",2019,47014.1666666667
"293","audi","s4",2020,52990
"294","audi","s5",2008,13498.6
"295","audi","s5",2009,11572.5909090909
"296","audi","s5",2010,19801.4333333333
"297","audi","s5",2011,14773
"298","audi","s5",2012,21286.5454545455
"299","audi","s5",2013,23114.125
"300","audi","s5",2014,28941.2
"301","audi","s5",2015,29822.064516129
"302","audi","s5",2016,36590
"303","audi","s5",2017,33591
"304","audi","s5",2018,39604.5431754875
"305","audi","s5",2019,52493.9642857143
"306","audi","s6",2002,8033.33333333333
"307","audi","s6",2007,12993
"308","audi","s6",2008,11097.5
"309","audi","s6",2013,28276.8421052632
"310","audi","s6",2014,26598.6
"311","audi","s6",2015,32998
"312","audi","s6",2016,35940.5
"313","audi","s6",2017,42498.3333333333
"314","audi","s7",2013,31490
"315","audi","s7",2014,35799.4
"316","audi","s7",2015,40345
"317","audi","s7",2016,44247.2142857143
"318","audi","s7",2017,48281.0833333333
"319","audi","s8",2001,10631.6666666667
"320","audi","s8",2007,12649.8181818182
"321","audi","s8",2014,33995
"322","audi","s8",2015,47473.75
"323","audi","sq",2014,23420.5454545455
"324","audi","sq",2015,20264
"325","audi","sq",2016,31097.8823529412
"326","audi","sq",2017,38050.6666666667
"327","audi","sq",2018,41400.4418604651
"328","audi","sq",2019,52885.8
"329","audi","sq",2020,49500
"330","audi","tt",2000,6087
"331","audi","tt",2001,6746.17647058824
"332","audi","tt",2002,7288.5
"333","audi","tt",2003,7050
"334","audi","tt",2004,10548.2142857143
"335","audi","tt",2005,7864.14285714286
"336","audi","tt",2006,8747.5
"337","audi","tt",2008,10759.6428571429
"338","audi","tt",2009,14333.75
"339","audi","tt",2010,7150
"340","audi","tt",2011,17366.25
"341","audi","tt",2012,8500
"342","audi","tt",2013,37508.7
"343","audi","tt",2014,20999.5
"344","audi","tt",2016,31049.625
"345","audi","tt",2017,33995
"346","audi","tt",2018,39835.1136363636
"347","audi","tu",2006,5995
"348","bmw","1",2008,8583.57894736842
"349","bmw","1",2009,10394.7083333333
"350","bmw","1",2010,14991.25
"351","bmw","1",2011,13256.2941176471
"352","bmw","1",2012,14302.4514285714
"353","bmw","1",2013,22188.5945945946
"354","bmw","2",2011,10199
"355","bmw","2",2012,12605
"356","bmw","2",2014,18134.25
"357","bmw","2",2015,22027.6153846154
"358","bmw","2",2016,26092.0416666667
"359","bmw","2",2017,28408.0833333333
"360","bmw","2",2018,27991.6
"361","bmw","2",2019,38976.6666666667
"362","bmw","2",2020,36838
"363","bmw","3",1992,20750
"364","bmw","3",1994,9830.33333333333
"365","bmw","3",1996,6340
"366","bmw","3",1998,5729.35294117647
"367","bmw","3",1999,6783.52631578947
"368","bmw","3",2000,5878.9
"369","bmw","3",2001,6570.54285714286
"370","bmw","3",2002,5792.68888888889
"371","bmw","3",2003,9377.66666666667
"372","bmw","3",2004,9410.44736842105
"373","bmw","3",2005,6994.54545454545
"374","bmw","3",2006,7094.74829931973
"375","bmw","3",2007,7383.15760869565
"376","bmw","3",2008,8896.38755980861
"377","bmw","3",2009,8694.85806451613
"378","bmw","3",2010,9685.77037037037
"379","bmw","3",2011,11318.018404908
"380","bmw","3",2012,13386.3090909091
"381","bmw","3",2013,15615.322815534
"382","bmw","3",2014,15415.0256410256
"383","bmw","3",2015,17281.5303643725
"384","bmw","3",2016,24334.75
"385","bmw","3",2017,26655.1013513513
"386","bmw","3",2018,26827.4581497797
"387","bmw","3",2019,34882.9565217391
"388","bmw","3",2020,42053.7244094488
"389","bmw","3",2021,44945
"390","bmw","4",2014,20712.8888888889
"391","bmw","4",2015,23686.2919254658
"392","bmw","4",2016,26748.7368421053
"393","bmw","4",2017,29453.8
"394","bmw","4",2018,34803.2189349112
"395","bmw","4",2019,35269.265060241
"396","bmw","4",2020,36661.6666666667
"397","bmw","5",1992,6950
"398","bmw","5",1998,4614.16666666667
"399","bmw","5",1999,6264.28571428571
"400","bmw","5",2000,4978.64705882353
"401","bmw","5",2001,6076.66666666667
"402","bmw","5",2002,5979.95238095238
"403","bmw","5",2003,6187
"404","bmw","5",2004,6404.47368421053
"405","bmw","5",2005,5752.77777777778
"406","bmw","5",2006,6288.45945945946
"407","bmw","5",2007,7248.92537313433
"408","bmw","5",2008,7234.32653061224
"409","bmw","5",2009,7573.63636363636
"410","bmw","5",2010,10001.6329113924
"411","bmw","5",2011,12496.0718954248
"412","bmw","5",2012,14489.0129032258
"413","bmw","5",2013,15519.7032967033
"414","bmw","5",2014,18736.311827957
"415","bmw","5",2015,21980.1181102362
"416","bmw","5",2016,25447.3188405797
"417","bmw","5",2017,30713.9622641509
"418","bmw","5",2018,33648.390070922
"419","bmw","5",2019,40403.9433962264
"420","bmw","5",2020,41472.7192982456
"421","bmw","6",2004,11887.8888888889
"422","bmw","6",2005,11369.2173913043
"423","bmw","6",2006,16431.125
"424","bmw","6",2007,17008
"425","bmw","6",2008,13183.2307692308
"426","bmw","6",2009,14447.5
"427","bmw","6",2010,18673.8
"428","bmw","6",2012,24933.6
"429","bmw","6",2013,24163.0615384615
"430","bmw","6",2014,31191.488372093
"431","bmw","6",2015,35310.4318181818
"432","bmw","6",2016,38866
"433","bmw","6",2017,46867.4444444444
"434","bmw","6",2018,40280
"435","bmw","7",1992,8000
"436","bmw","7",1998,7033.33333333333
"437","bmw","7",1999,8800
"438","bmw","7",2000,4700
"439","bmw","7",2001,9134.64285714286
"440","bmw","7",2002,4650
"441","bmw","7",2003,5447.125
"442","bmw","7",2004,7145.8
"443","bmw","7",2005,10124.75
"444","bmw","7",2006,7004.4347826087
"445","bmw","7",2007,8022.23076923077
"446","bmw","7",2008,9129
"447","bmw","7",2009,12609.9333333333
"448","bmw","7",2010,13506.6666666667
"449","bmw","7",2011,15412.90625
"450","bmw","7",2012,15412.3114754098
"451","bmw","7",2013,23315.4307692308
"452","bmw","7",2014,25567.6129032258
"453","bmw","7",2015,26730.1285714286
"454","bmw","7",2016,36313.625
"455","bmw","7",2017,41889.9090909091
"456","bmw","7",2018,46794.1898734177
"457","bmw","7",2019,49501.6666666667
"458","bmw","7",2020,56990
"459","bmw","8",1992,24166
"460","bmw","8",1996,38500
"461","bmw","a",2007,16500
"462","bmw","a",2012,20500
"463","bmw","a",2013,14900
"464","bmw","a",2015,47100
"465","bmw","b",2015,45500
"466","bmw","e",1998,11500
"467","bmw","e",1999,5500
"468","bmw","e",2002,38900
"469","bmw","e",2003,13875
"470","bmw","e",2004,22247.5
"471","bmw","e",2006,27666.3333333333
"472","bmw","e",2009,25995
"473","bmw","f",2007,6495
"474","bmw","i",2014,15126.9545454545
"475","bmw","i",2015,15842.4594594595
"476","bmw","i",2016,16753.4
"477","bmw","i",2017,20601.6153846154
"478","bmw","i",2018,25450.5806451613
"479","bmw","i",2019,28590
"480","bmw","m",1994,23995
"481","bmw","m",1998,13916.5
"482","bmw","m",1999,11149.875
"483","bmw","m",2000,25054.2727272727
"484","bmw","m",2001,18500
"485","bmw","m",2002,19958.4545454545
"486","bmw","m",2003,16692.7142857143
"487","bmw","m",2004,16099.1428571429
"488","bmw","m",2005,22498.75
"489","bmw","m",2006,21133.7692307692
"490","bmw","m",2007,19718.2142857143
"491","bmw","m",2008,24898.4285714286
"492","bmw","m",2009,31477.625
"493","bmw","m",2010,31830
"494","bmw","m",2011,30136.0625
